Timestamp,Presenter ,Brief Bio,School / Organization,Co-Presenters,Session Title ,Session Description       ,Strand ,Which of the following Early Childhood Core Copentencies will your session support?,Grade level (check ALL that apply),Are you interested in presenting at a round table discussion?  This would involve rotating small groups of 5-8 participants in a small group setting.  You would provide 20 minute mini-sessions in stead of 1 hour sessions.  ,"Equipment Needed---If you need sound for your presentation, please bring your own speakers. Microphones will be provided for only the largest rooms. ",Tables: Tables for participants are not available in session rooms.  Each presenter will have one table at the front. Do you need additional tables for your materials?,"If you need tables, how many? (3 maximum)",Session Description ,Location ,Time,Max Capacity ,Gold Mine Session Time Slots,,
,Various,,Various,,Gold Mine Sessions - Morning,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",,,,,,,,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",The Connection Room,10:15 a.m.,36,,,
,Various,,Various,,Gold Mine Sessions - Afternoon,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",,,,,,,,"Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.
Gold Mine sessions are unique, small-group sessions that allow participants to interact with expert practitioners on a wide-range of topics. Registration for a Gold Mine session requires you to identify four small-group sessions that you would like to attend during the reserved two-hour block. Please note that if you register for a Gold Mine session, you will not be able to reserve seats in long sessions during that same time period.",The Connection Room,12:45 p.m.,36,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
